,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
136,low,1,20,3,6,11,0.37,1893,211,102,207,180,64,394,984,315,268,321,322,228,484,960,889,481,340,830,645,463,256,602,262,554,23,676,721,995,905,14,21,11,20,560,10,38,17,12,977,6,11,0.27,0.06,1.01,1.0,1.19,1.16,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,True,0.0,False,True,0.0,0.0,0.0
137,close,1,19,295,6,12,0.05,2670,679,119,177,741,167,191,263,3,320,1000,181,331,388,807,731,372,263,720,643,332,295,848,138,584,746,957,977,602,894,16,49,35,2,433,6,39,94,17,860,17,3,0.07,0.35,1.17,1.11,1.15,1.02,False,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,0.0,False,True,0.0,0.0,0.0
138,HL/2,1,14,43,6,15,0.18,1631,882,320,169,788,149,335,67,343,372,303,109,238,707,756,714,382,340,923,845,406,357,300,56,458,658,323,451,990,142,29,47,43,3,741,12,15,58,12,102,11,24,0.39,0.31,1.18,1.15,1.09,1.0,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,0.0,False,True,0.0,0.0,0.0
139,HLCC/4,2,15,244,6,20,0.23,1709,825,165,382,499,66,397,56,59,388,138,42,241,448,905,826,281,274,883,722,359,324,967,854,347,172,602,55,277,518,3,38,64,1,424,8,40,68,1,337,23,2,0.22,0.12,1.11,1.1,1.15,1.02,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,0.0,False,True,0.0,0.0,0.0
140,open,1,18,101,6,12,0.25,655,216,214,327,638,367,294,776,127,117,552,260,4,787,902,879,495,373,934,888,361,359,662,688,987,682,206,928,943,46,21,24,47,14,155,2,27,95,17,627,17,4,0.2,0.23,1.2,1.13,1.18,1.12,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,0.0,False,True,0.0,0.0,0.0
141,open,1,17,192,6,11,0.04,2589,895,126,369,145,107,106,698,170,38,18,213,152,434,984,515,257,251,647,517,377,318,170,647,460,262,579,751,369,735,8,22,80,18,477,12,22,65,4,287,19,13,0.12,0.18,1.18,1.02,1.04,1.03,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,0.0,False,True,0.0,0.0,0.0
142,HLC/3,1,16,359,6,5,0.36,2150,547,158,181,135,65,181,475,45,392,461,343,339,848,813,533,420,269,769,551,479,393,692,157,725,286,854,751,248,96,13,16,3,19,266,6,19,51,13,610,10,8,0.1,0.05,1.11,1.0,1.0,1.15,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,0.0,False,True,0.0,0.0,0.0
143,HLCC/4,1,17,100,6,17,0.29,1582,815,22,169,168,41,178,259,363,351,240,200,296,94,663,564,436,422,674,527,364,268,448,274,396,780,566,282,45,31,22,52,20,7,812,2,47,42,7,136,23,21,0.02,0.13,1.01,1.09,1.1,1.08,True,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,0.0,False,True,0.0,0.0,0.0
144,low,1,19,367,6,14,0.11,1375,730,179,242,199,339,51,602,160,144,709,303,206,728,684,505,491,337,945,875,400,364,394,251,736,375,42,906,58,358,12,36,7,3,905,4,33,56,11,706,11,2,0.21,0.04,1.11,1.03,1.0,1.16,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
145,high,2,19,96,6,6,0.08,1434,986,56,243,799,124,399,170,88,36,879,54,213,149,802,571,451,372,855,779,470,467,987,782,509,189,27,730,544,766,11,42,103,6,678,10,28,95,12,641,13,9,0.14,0.31,1.07,1.09,1.18,1.01,False,True,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
146,low,2,18,133,6,10,0.26,478,711,53,221,707,146,224,465,214,92,733,3,83,955,744,584,473,326,773,723,365,263,22,985,582,370,249,821,705,547,16,29,57,14,700,16,51,77,7,572,22,22,0.02,0.19,1.09,1.04,1.13,1.14,True,True,True,False,True,False,False,False,True,False,False,False,True,True,False,True,True,0.0,False,True,0.0,0.0,0.0
147,HL/2,1,17,299,6,11,0.12,217,607,335,268,331,11,281,951,55,157,902,270,223,551,1000,797,495,402,715,535,325,283,363,144,894,299,766,82,808,505,3,17,42,11,751,6,10,37,8,214,13,17,0.29,0.19,1.13,1.16,1.06,1.06,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,0.0,False,True,0.0,0.0,0.0
148,HLCC/4,1,18,359,6,18,0.25,2283,962,306,118,81,26,202,565,153,313,721,373,362,538,994,817,353,281,853,504,308,256,538,147,68,142,361,246,795,966,17,30,58,2,323,12,42,64,20,196,16,8,0.12,0.06,1.03,1.18,1.15,1.13,True,False,True,True,True,True,False,False,False,True,False,True,True,False,True,False,True,0.0,False,True,0.0,0.0,0.0
149,OHLC/4,1,16,114,6,12,0.14,838,270,64,152,766,346,151,586,156,182,836,97,206,59,678,673,486,271,919,691,470,331,836,531,449,509,932,974,166,538,15,29,90,11,57,12,35,19,13,418,11,7,0.19,0.03,1.02,1.19,1.15,1.17,False,True,True,False,False,True,False,True,True,True,False,True,True,False,False,True,False,0.0,False,True,0.0,0.0,0.0
150,HL/2,1,15,58,6,7,0.35,2064,979,52,236,179,83,6,301,220,80,3,200,262,178,735,641,417,300,806,579,395,302,381,619,180,873,865,270,267,584,18,26,69,4,972,11,51,68,1,511,8,6,0.02,0.31,1.08,1.12,1.01,1.11,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,0.0,False,True,0.0,0.0,0.0
151,HL/2,2,16,10,6,19,0.07,1786,890,27,29,651,222,109,768,173,97,807,104,64,858,941,896,465,444,943,553,497,375,900,160,518,475,755,138,455,378,2,25,46,9,776,14,39,44,4,706,25,13,0.03,0.13,1.08,1.19,1.13,1.05,True,False,True,False,True,False,False,False,False,True,False,False,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
152,close,2,17,46,6,10,0.37,2583,621,332,97,228,334,377,511,50,228,6,50,131,878,954,715,486,459,823,610,417,322,690,235,572,222,990,473,94,344,29,56,41,4,707,10,36,27,17,843,17,21,0.4,0.11,1.03,1.13,1.16,1.0,False,False,True,True,True,True,True,False,False,False,True,True,True,True,False,True,False,0.0,False,True,0.0,0.0,0.0
153,high,1,19,137,6,6,0.38,907,619,16,198,732,119,53,645,197,158,560,72,147,999,899,628,461,382,772,622,323,252,290,335,809,675,241,847,429,203,26,57,45,1,571,3,52,103,13,783,10,2,0.31,0.36,1.09,1.04,1.18,1.0,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,0.0,False,True,0.0,0.0,0.0
154,HL/2,2,16,19,6,12,0.34,2821,564,318,117,356,293,60,580,279,26,698,110,90,726,949,551,485,442,619,545,347,270,427,923,51,315,756,217,844,619,10,52,92,15,808,13,40,70,16,141,16,18,0.35,0.12,1.05,1.15,1.04,1.18,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,0.0,False,True,0.0,0.0,0.0
155,HLCC/4,1,19,130,6,8,0.26,1661,229,327,184,134,199,124,988,35,12,246,12,80,151,993,834,489,435,954,941,438,310,887,416,503,838,952,266,662,265,7,37,23,6,312,2,10,61,11,287,21,21,0.15,0.28,1.17,1.06,1.18,1.19,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,0.0,False,True,0.0,0.0,0.0
156,low,2,16,161,6,19,0.33,2619,980,160,114,520,307,342,184,225,148,255,116,352,507,944,883,325,254,960,852,414,329,831,925,663,258,180,251,413,277,15,35,51,18,921,9,41,90,7,358,17,11,0.2,0.28,1.18,1.06,1.04,1.14,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,0.0,False,True,0.0,0.0,0.0
157,low,2,21,205,6,8,0.03,1845,348,46,232,209,397,94,274,241,315,605,220,163,600,834,666,458,428,840,695,360,270,5,821,271,260,650,531,729,347,6,40,76,16,575,12,39,57,2,213,11,4,0.21,0.22,1.15,1.05,1.06,1.04,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0,False,True,0.0,0.0,0.0
158,HLCC/4,2,20,276,6,1,0.13,2851,924,39,379,92,237,121,675,255,318,974,298,97,961,883,688,412,384,733,522,479,460,681,219,459,628,166,205,648,332,24,43,25,15,811,16,51,81,18,348,10,8,0.18,0.32,1.05,1.12,1.01,1.14,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,0.0,False,True,0.0,0.0,0.0
159,high,2,21,174,6,17,0.21,2358,884,312,131,772,143,146,308,48,328,946,365,320,96,634,613,393,374,929,846,343,330,945,761,823,290,330,997,224,772,5,37,39,7,774,5,41,7,11,695,7,5,0.18,0.23,1.15,1.09,1.08,1.09,True,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,False,0.0,False,True,0.0,0.0,0.0
